Bucket,Color/Number,Old/New,Species,Date_initial_measure,Length_pre,Width_pre,Height_pre,Weight,Mortality_Date,Date_FinalMeasurement,Length_post,Width_post,Height_post,Weight_post ,live_barnacles,dead_barnacles,polydora_scars,RFTM_Date,RFTM_score,Parasites,
HM9,G98,NEW,CV,6/20/2018,36.13,22.39,9.51,4.51,,,55.25,36.28,12.76,16.26,0,0,0,31-Oct,0,,
HP5,G19,OLD,CV,6/13/2018,48.76,26.01,10.64,8.16,,,57.57,38.55,12.35,23.34,0,0,0,29-Oct,0,,
HM7,Y21,NEW,CV,6/19/2018,25.08,21.22,10.09,2.03,,,52.73,38.31,18.06,23.04,0,0,0,30-Oct,0,,
HM1,G24,NEW,CV,6/20/2018,35.68,24.08,10.66,3.54,,10/15/2018,59.79,37.21,14.97,21.6,0,0,1,23-Oct,0,,
HM8,Y68,NEW,CV,6/19/2018,32.66,24.14,11.82,2.96,,,53.05,39.68,13.99,20.46,0,0,0,1-Nov,0,,
HM1,G18,NEW,CV,6/20/2018,53.36,32.08,12.76,11.07,,10/15/2018,58.04,35.33,14.06,20.2,0,0,0,23-Oct,0,,
LP4,O50,,CV,,,,,,,,51.56,38.56,13.44,19.91,0,0,0,25-Oct,0,,
HP2,W1,OLD,CV,6/19/2018,46.44,34.39,12.82,10.33,,,52.87,38.81,13.41,19.78,0,0,0,25-Oct,0,,
LP2,G40,OLD,CV,6/13/2018,32.17,23.97,8.04,2.95,,,50.05,35.36,13.76,19.75,,,,,,,
HP7,G49,OLD,CV,6/13/2018,52.05,27.85,9.79,8.78,10/18/2018,10/18/2018,37.32,31.14,13.77,19.73,0,0,0,30-Oct,0,nps,
HM8,15,,CV,,,,,,,,56.26,34.08,13.22,19.72,0,0,0,,,,
HM7,O56,NEW,CV,6/19/2018,37.52,21.2,13.03,3.93,,,57.16,35.35,15.04,19.57,0,0,1,30-Oct,0,,
HM6,G68,NEW,CV,6/20/2018,36.27,24.3,11.02,5.1,,,55.05,33.24,12.16,19.48,0,0,0,1-Nov,0,,
HP9,Y79,NA,IR,6/21/2018,51.23,32.33,20.64,13.95,,10/19/2018,51.68,31.8,21.11,19.46,0,0,0,30-Oct,0,,
HM4,Y53,NEW,CV,6/19/2018,26.82,18.9,10.37,2.36,,,62.36,34.64,12.51,18.85,0,0,0,25-Oct,0,,
HP5,G55,OLD,CV,6/13/2018,43.23,32.37,10.21,8.41,,,54.61,32.21,14.08,18.57,2,0,1,29-Oct,0,,
HP5,G18,OLD,CV,6/13/2018,54.12,31.35,12.54,11.43,,,54.25,33.77,12.51,18.47,0,0,0,29-Oct,0,,
LP2,O49,OLD,CV,6/12/2018,33.62,22.86,7.87,3.69,19-Jul,,52.78,39.23,11.58,18.35,,,,25-Oct,0,,
LP6,Y28,OLD,CV,6/13/2018,39.65,26.4,8.82,5.53,,,58.71,33.23,14.24,18.25,0,0,1,30-Oct,0,,
HM5,O54,NEW,CV,6/19/2018,33.55,28.15,13.87,4.42,,,57.37,36.04,13.31,18.19,0,0,1,,,,
LP9,B21,NEW,CV,6/20/2018,41.75,32.32,12.43,9.63,,,48.51,38.7,16.65,17.97,0,0,0,31-Oct,0,,
LM4,72Y,,CV,,,,,,,10/17/2018,46.94,32.66,13.56,17.88,0,0,0,29-Oct,0,,
LP4,O52,OLD,CV,6/12/2018,50.01,29.24,11.07,10.5,,,58.82,39.04,12.2,17.87,0,0,0,25-Oct,0.5,,
LM3,Y65,NEW,CV,6/19/2018,41.17,32.47,13.45,8.14,,10/18/2018,50.91,36.54,13.7,17.76,0,0,2,27-Oct,0,,
LP9,B36,NEW,CV,6/20/2018,45.68,43.08,20.92,12.95,,,50.25,35.13,13.7,17.71,0,0,1,31-Oct,0,,
LM4,52O,,CV,,,,,,,10/17/2018,52.15,38.28,15.56,17.64,0,0,0,29-Oct,0,,
LM7,W44,OLD,CV,6/19/2018,45.61,31.82,12.3,8.31,,10/19/2018,46.7,38.1,13.81,17.59,1,0,0,1-Nov,0,,
HP4,W46,NA,IR,6/21/2018,52.07,30.2,20.31,15.24,,,51.82,27.94,21.02,17.55,0,0,0,29-Oct,0,,
LM1,Y22,NEW,CV,6/19/2018,25.56,23.03,11.5,2.14,,10/15/2018,55.07,35.2,13.64,17.37,0,0,0,22-Oct,0,,
LP2,G5,OLD,CV,6/13/2018,36.15,24.59,7.78,3.29,,,50.53,33.84,13.55,17.35,,,,25-Oct,0,,
HP6,B1,OLD,CV,6/13/2018,41.3,32.2,10.45,8.67,,,43.96,33.26,13.9,17.32,1,0,0,30-Oct,0,,
LP9,15,,CV,,,,,,,,58.4,33.91,12.77,17.27,0,0,0,,,,
LP5,O51,OLD,CV,6/12/2018,41.67,30.79,9.77,8.84,,,48.25,32.51,13.82,17.11,0,0,0,27-Oct,1,,
LM4,7Y,,CV,,,,,,,10/17/2018,55.77,34.08,13.74,17.03,2,0,0,29-Oct,0,,
LP1,Y88,OLD,CV,6/13/2018,40.04,22.38,6.66,3.49,,15-Oct,53.95,31.44,11.69,17,,,,,,,
LP2,W28,NA,IR,6/21/2018,54.11,20.74,19.18,14.24,,,54.08,29.17,19.41,17,,,,27-Oct,0,,
LP5,Y66,OLD,CV,6/13/2018,38.24,25.71,8.01,5.84,,,54.39,31.32,12.52,16.97,1,0,0,27-Oct,0,,
LP7,O25,OLD,CV,6/12/2018,38.92,23.13,9.03,4.89,,,51.54,27.66,14.03,16.97,1,0,0,30-Oct,0,,
HM1,G73,NEW,CV,6/20/2018,45.46,23.54,13.32,4.55,,10/15/2018,49.56,35.58,13.05,16.93,0,0,0,23-Oct,0,,
LP1,O77,OLD,CV,6/12/2018,37.93,29,7.67,4.95,,15-Oct,48.08,30.19,12.78,16.78,,,,23-Oct,0,,
HM7,O68,NEW,CV,6/19/2018,40.81,30.78,13.88,6.71,,,50.29,43.54,13.73,16.75,0,0,0,,,,
HM5,G77,NEW,CV,6/20/2018,41.12,28.18,12.76,6.27,,,50.58,35.22,14.83,16.74,0,0,0,30-Oct,0,,
LM7,W42,OLD,CV,6/19/2018,45.73,32.24,13.56,9.48,,10/19/2018,48.35,32.92,15.4,16.72,0,0,1,1-Nov,0,,
