Date_pre,Date_post,Site,Treatment,Color,Number,Species,Length_pre,Width_pre,Height_pre,Weight_pre,Notes_pre,POST_DEAD_ALIVE,Length_post,Width_post,Height_post,Weight_post,Genetics_Weight,Dry_Weight_plate,Dry_weight_final,Dry_weight_shell,RFTM_date,RFTM_score,peacrabs,Notes_post,LiveMM
5/30/17,,NW,HH,B,1,CV,14.8,16.65,6.8,0.7,,,46.25,44.73,18.99,17.61,G,,,,9/25-10/2,0,,,3
5/30/17,,NW,HH,B,2,CV,21.2,17.8,5.55,0.89,,,48.15,48.97,20.76,23.76,W,1.2813,1.74377,15.3875,,,,,3
5/30/17,,NW,HH,B,3,MM,22.4,20.4,12,3.27,,DEAD,,,,,,,,,,,,,3
5/30/17,,NW,HH,B,4,MM,24.9,21.65,13.6,4.46,,DEAD,,,,,,,,,,,,,3
5/28/17,,NW,HH,B,5,GD,115.9,43.8,35.5,97.67,,,116.96,42.86,36.36,100.78,G,,,,9/25-10/2,0,,pearl,3
5/28/17,,NW,HH,B,6,GD,99.4,39.4,28.3,62.37,,,96.16,44.71,28.41,67.07,W,1.2987,2.35152,32.43745,,,,,3
5/30/17,,NW,HH,B,7,MM,20.7,18.4,11.1,2.5,,PREDATION,,,,,,,,,,,,,3
5/28/17,,NW,HH,B,8,GD,115.2,48.6,37.3,97.84,,,114.64,46,37.56,109.65,G,,,,9/25-10/2,0,,,3
5/30/17,,NW,HH,B,9,MM,18.7,16.5,10,1.87,,PREDATION,,,,,,,,,,,,,3
5/28/17,,NW,HH,B,10,GD,110.3,41.1,30.6,78.17,,,108.61,40,31.87,81.13,W,1.2904,2.49389,35.5111,,,,,3
5/30/17,,NW,HH,B,11,CV,25.6,15.8,5.6,1.31,,,68.38,39.93,28.77,35.01,G,,,,9/25-10/2,0,,,3
5/30/17,,NW,HH,B,12,CV,20.9,16.9,5.5,1.05,,MISSING,,,,,,,,,,,,,3
5/30/17,,NW,HH,B,13,CV,18.2,18.6,4.95,0.65,,,42.02,39.65,15.5,15.51,W,1.2879,1.6037,10.7588,,,,,3
5/30/17,,NW,HH,B,14,CV,18.35,17.2,7,0.81,,,52.44,38.9,21.25,18.32,G,,,,9/25-10/2,0,,,3
5/30/17,,NW,HH,B,15,MM,19.3,17.1,9,0.75,,,20.44,18.44,10.53,2.66,G,,,,9/25-10/2,0,,,3
5/28/17,,NW,HH,B,16,GD,108,43.9,32.8,88.45,,,109.95,48.56,32.24,96.47,G,,,,9/25-10/2,0,,,3
5/30/17,,NW,HH,B,17,MM,20.2,18.2,10.1,2.28,,PREDATION,,,,,,,,,,,,,3
5/28/17,,NW,HH,B,18,GD,93.2,37.9,30.5,60.6,,,93.81,39.08,31.36,58.68,W,1.2784,2.16528,26.95997,,,,,3
5/28/17,,NW,HH,P,1,GD,100.8,40.8,31.4,73.46,,,103.69,41.79,30.64,82.37,G,,,,9/25-10/2,0,,,4
5/28/17,,NW,HH,P,2,GD,114.9,44.9,34.6,102.42,,,114.9,44.84,36.25,107.74,W,1.2702,2.6392,46.2185,,,,,4
5/30/17,,NW,HH,P,3,CV,18.8,17.15,6.5,0.93,,,53.32,43.92,23.14,24.57,G,,,,9/25-10/2,0,,,4
