"","UniqueID","Experiment","Year","Site","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number","Species","Length_pre","Width_pre","Height_pre","Weight_pre","Length_post","Width_post","Height_post","Weight_post","RFTM_score","peacrabs","Length_delta","Weight_delta","RFTM_simp","RFTM_pa"
"2017_NW_HIGH_MONO_B1_CV","2017_NW_HIGH_MONO_B1_CV","Field17",2017,"NW","HIGH_MONO",NA,"B","1","CV",18.2,21.1,5.8,0.8,51.72,39.99,23.44,22.78,1,"0",1.84175824175824,27.475,"1","1"
"2017_NW_HIGH_MONO_B11_CV","2017_NW_HIGH_MONO_B11_CV","Field17",2017,"NW","HIGH_MONO",NA,"B","11","CV",24.2,18.1,5.8,1.45,65.99,32.67,19.69,21.48,2,"0",1.72685950413223,13.8137931034483,"2","1"
"2017_NW_HIGH_MONO_B12_CV","2017_NW_HIGH_MONO_B12_CV","Field17",2017,"NW","HIGH_MONO",NA,"B","12","CV",24.4,16.8,7.15,1.26,68.82,41.43,22.92,23.75,0,"0",1.82049180327869,17.8492063492063,"0","0"
"2017_NW_HIGH_MONO_B14_CV","2017_NW_HIGH_MONO_B14_CV","Field17",2017,"NW","HIGH_MONO",NA,"B","14","CV",21.1,20,5.8,1,56.17,41.03,22.82,27.56,1,"0",1.66208530805687,26.56,"1","1"
"2017_NW_HIGH_MONO_B18_CV","2017_NW_HIGH_MONO_B18_CV","Field17",2017,"NW","HIGH_MONO",NA,"B","18","CV",25,20.08,6,1.63,71.11,41.94,25.15,33.37,4,"0",1.8444,19.4723926380368,"4","1"
"2017_NW_HIGH_MONO_P1_CV","2017_NW_HIGH_MONO_P1_CV","Field17",2017,"NW","HIGH_MONO",NA,"P","1","CV",19.25,20,6.3,1.08,78.18,44.58,20.32,34.33,1,"0",3.0612987012987,30.787037037037,"1","1"
"2017_NW_HIGH_MONO_P12_CV","2017_NW_HIGH_MONO_P12_CV","Field17",2017,"NW","HIGH_MONO",NA,"P","12","CV",21.8,20.6,6.5,1.32,42.36,37.83,17.76,20.54,2,"0",0.943119266055046,14.5606060606061,"2","1"
"2017_NW_HIGH_MONO_P14_CV","2017_NW_HIGH_MONO_P14_CV","Field17",2017,"NW","HIGH_MONO",NA,"P","14","CV",22.55,21,7.7,1.49,53.82,48.02,20.56,29.11,2,"1",1.38669623059867,18.5369127516779,"2","1"
"2017_NW_HIGH_MONO_P16_CV","2017_NW_HIGH_MONO_P16_CV","Field17",2017,"NW","HIGH_MONO",NA,"P","16","CV",27.5,18.95,6.8,1.66,77.38,39.74,23.32,29.2,2,"0",1.81381818181818,16.5903614457831,"2","1"
"2017_NW_HIGH_MONO_P8_CV","2017_NW_HIGH_MONO_P8_CV","Field17",2017,"NW","HIGH_MONO",NA,"P","8","CV",22.7,20.06,5.65,1.34,60.51,41.39,18.14,25.66,0,"0",1.66563876651982,18.1492537313433,"0","0"
"2017_NW_HIGH_MONO_P9_CV","2017_NW_HIGH_MONO_P9_CV","Field17",2017,"NW","HIGH_MONO",NA,"P","9","CV",20.5,18.7,7,0.95,40.38,33.17,12.41,7.88,3,"1",0.969756097560976,7.29473684210526,"3","1"
"2017_NW_HIGH_MONO_R18_CV","2017_NW_HIGH_MONO_R18_CV","Field17",2017,"NW","HIGH_MONO",NA,"R","18","CV",21.1,17.7,5.6,0.9,61.79,49.86,17.84,28.94,1,"1",1.92843601895735,31.1555555555556,"1","1"
"2017_NW_HIGH_MONO_R4_CV","2017_NW_HIGH_MONO_R4_CV","Field17",2017,"NW","HIGH_MONO",NA,"R","4","CV",20.6,18.3,6.5,0.98,64.06,43.93,22.08,32.59,0.5,"0",2.10970873786408,32.2551020408163,"1","1"
"2017_NW_HIGH_MONO_R6_CV","2017_NW_HIGH_MONO_R6_CV","Field17",2017,"NW","HIGH_MONO",NA,"R","6","CV",25.25,18.2,5.6,1.37,59.46,42.25,18.68,30.69,0,"0",1.35485148514851,21.4014598540146,"0","0"
"2017_NW_HIGH_MONO_Y9_CV","2017_NW_HIGH_MONO_Y9_CV","Field17",2017,"NW","HIGH_MONO",NA,"Y","9","CV",23.05,19.9,6.2,1.01,59.97,45.31,23.36,34.72,3,"0",1.60173535791757,33.3762376237624,"3","1"
"2017_NW_HIGH_POLY_B1_CV","2017_NW_HIGH_POLY_B1_CV","Field17",2017,"NW","HIGH_POLY",NA,"B","1","CV",14.8,16.65,6.8,0.7,46.25,44.73,18.99,17.61,0,"0",2.125,24.1571428571429,"0","0"
"2017_NW_HIGH_POLY_B11_CV","2017_NW_HIGH_POLY_B11_CV","Field17",2017,"NW","HIGH_POLY",NA,"B","11","CV",25.6,15.8,5.6,1.31,68.38,39.93,28.77,35.01,0,"0",1.67109375,25.7251908396947,"0","0"
"2017_NW_HIGH_POLY_B14_CV","2017_NW_HIGH_POLY_B14_CV","Field17",2017,"NW","HIGH_POLY",NA,"B","14","CV",18.35,17.2,7,0.81,52.44,38.9,21.25,18.32,0,"0",1.85776566757493,21.6172839506173,"0","0"
"2017_NW_HIGH_POLY_P7_CV","2017_NW_HIGH_POLY_P7_CV","Field17",2017,"NW","HIGH_POLY",NA,"P","7","CV",23.5,17.2,5.8,1.3,60.15,46.68,20.26,32.41,1,"0",1.55957446808511,23.9307692307692,"1","1"
"2017_NW_HIGH_POLY_R1_CV","2017_NW_HIGH_POLY_R1_CV","Field17",2017,"NW","HIGH_POLY",NA,"R","1","CV",24.85,17.5,6.6,1.24,53.74,37.42,17.68,15.61,1,"0",1.1625754527163,11.5887096774194,"1","1"
"2017_NW_LOW_MONO_B17_CV","2017_NW_LOW_MONO_B17_CV","Field17",2017,"NW","LOW_MONO",NA,"B","17","CV",21.1,18.7,5.3,1.01,62.48,46.67,23.31,35.39,0,"0",1.96113744075829,34.039603960396,"0","0"
"2017_NW_LOW_MONO_B3_CV","2017_NW_LOW_MONO_B3_CV","Field17",2017,"NW","LOW_MONO",NA,"B","3","CV",22.4,17.2,6.85,1.17,49.29,54.14,19.28,24.1,0,"0",1.20044642857143,19.5982905982906,"0","0"
"2017_NW_LOW_MONO_P11_CV","2017_NW_LOW_MONO_P11_CV","Field17",2017,"NW","LOW_MONO",NA,"P","11","CV",24,16.35,7.4,1.37,72.09,41.39,18.68,26.99,0.5,"0",2.00375,18.7007299270073,"1","1"
"2017_NW_LOW_MONO_P17_CV","2017_NW_LOW_MONO_P17_CV","Field17",2017,"NW","LOW_MONO",NA,"P","17","CV",18.9,18.75,5.8,0.96,69.85,46.25,21.18,33.31,2,"0",2.6957671957672,33.6979166666667,"2","1"
"2017_NW_LOW_MONO_P5_CV","2017_NW_LOW_MONO_P5_CV","Field17",2017,"NW","LOW_MONO",NA,"P","5","CV",20.2,17.5,6.1,0.91,45.43,36.73,16.7,16.24,4,"0",1.2490099009901,16.8461538461538,"4","1"
"2017_NW_LOW_MONO_P7_CV","2017_NW_LOW_MONO_P7_CV","Field17",2017,"NW","LOW_MONO",NA,"P","7","CV",25.2,16,6.5,1.19,57.2,38.38,18.8,25.65,0.5,"0",1.26984126984127,20.5546218487395,"1","1"
"2017_NW_LOW_MONO_R1_CV","2017_NW_LOW_MONO_R1_CV","Field17",2017,"NW","LOW_MONO",NA,"R","1","CV",20,18.7,6.5,1.09,49.02,38.98,18.46,2.28,1,"0",1.451,1.09174311926605,"1","1"
"2017_NW_LOW_MONO_R11_CV","2017_NW_LOW_MONO_R11_CV","Field17",2017,"NW","LOW_MONO",NA,"R","11","CV",20.5,17.75,6.9,1.04,49.57,38.26,20.18,19.59,3,"0",1.4180487804878,17.8365384615385,"3","1"
"2017_NW_LOW_MONO_R14_CV","2017_NW_LOW_MONO_R14_CV","Field17",2017,"NW","LOW_MONO",NA,"R","14","CV",23.5,18.5,6.45,1.05,57.22,33.05,15.37,16.68,2,"0",1.43489361702128,14.8857142857143,"2","1"
"2017_NW_LOW_MONO_R16_CV","2017_NW_LOW_MONO_R16_CV","Field17",2017,"NW","LOW_MONO",NA,"R","16","CV",22.6,18.35,10.2,1.88,55.95,37.96,22.5,23.82,4,"0",1.47566371681416,11.6702127659574,"4","1"
"2017_NW_LOW_MONO_Y10_CV","2017_NW_LOW_MONO_Y10_CV","Field17",2017,"NW","LOW_MONO",NA,"Y","10","CV",20.9,18.25,6.75,1.11,67.74,44.5,24.56,41.63,0,"0",2.24114832535885,36.5045045045045,"0","0"
"2017_NW_LOW_MONO_Y18_CV","2017_NW_LOW_MONO_Y18_CV","Field17",2017,"NW","LOW_MONO",NA,"Y","18","CV",22.55,16.3,7,0.93,78.22,45.82,17.26,26.79,3,"0",2.46873614190687,27.8064516129032,"3","1"
"2017_NW_LOW_MONO_Y6_CV","2017_NW_LOW_MONO_Y6_CV","Field17",2017,"NW","LOW_MONO",NA,"Y","6","CV",22,18.1,6.3,1.27,69.2,42.12,20.99,25.34,2,"0",2.14545454545455,18.9527559055118,"2","1"
"2017_NW_LOW_POLY_B17_CV","2017_NW_LOW_POLY_B17_CV","Field17",2017,"NW","LOW_POLY",NA,"B","17","CV",18.25,20.04,6.15,1,58.04,38.04,20.13,20.07,3,"0",2.18027397260274,19.07,"3","1"
"2017_NW_LOW_POLY_B6_CV","2017_NW_LOW_POLY_B6_CV","Field17",2017,"NW","LOW_POLY",NA,"B","6","CV",20,17.8,6.4,1.05,60.26,33.26,24.19,25.48,2,"0",2.013,23.2666666666667,"2","1"
"2017_NW_LOW_POLY_P18_CV","2017_NW_LOW_POLY_P18_CV","Field17",2017,"NW","LOW_POLY",NA,"P","18","CV",21,18.7,5.2,1.05,63.74,46.96,25.7,38.25,3,"0",2.0352380952381,35.4285714285714,"3","1"
