"","UniqueID","Experiment","Year","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number","RFTM_score.x","peacrabs","Species2.x","Bucket","Color.Number","Old.New","Length_pre","Width_pre","Height_pre","Weight","Length_post","Width_post","Height_post","Weight_post","live_barnacles","dead_barnacles","polydora_scars","RFTM_score.y","Species2.y","Bucket2","Bucket_colnum"
"1","2018_HIGH_MONO_HM1O73_CV","Lab18",2018,"HIGH","MONO","HM1","O73",0,0,"CV","HM1","O73","NEW",40.46,27.61,13.19,5.87,"53.69",30.95,"13.96",16.6,"0",0,0,0,"CV","HIGH_MONO","HM1O73"
"2","2018_HIGH_MONO_HM1W15_CV","Lab18",2018,"HIGH","MONO","HM1","W15",0,0,"CV","HM1","W15","OLD",40.32,23.04,11.2,4.25,"42.75",28.85,"9.35",8.54,"0",0,0,0,"CV","HIGH_MONO","HM1W15"
"3","2018_HIGH_MONO_HM1W33_CV","Lab18",2018,"HIGH","MONO","HM1","W33",0,0,"CV","HM1","W33","OLD",47.13,30.3,13.86,10.52,"47.49",30.61,"13.32",15.56,"0",0,0,0,"CV","HIGH_MONO","HM1W33"
"4","2018_HIGH_MONO_HM1W96_CV","Lab18",2018,"HIGH","MONO","HM1","W96",0,0,"CV","HM1","W96","OLD",42.01,34.34,13.93,7.66,"42.77",36.24,"13.56",13.52,"0",0,0,0,"CV","HIGH_MONO","HM1W96"
"5","2018_HIGH_MONO_HM4Y44_CV","Lab18",2018,"HIGH","MONO","HM4","Y44",0,NA,"CV","HM4","Y44","NEW",27.32,20.28,10.03,2,NA,NA,NA,NA,NA,NA,NA,0,"CV","HIGH_MONO","HM4Y44"
"6","2018_HIGH_MONO_HM4Y53_CV","Lab18",2018,"HIGH","MONO","HM4","Y53",0,NA,"CV","HM4","Y53","NEW",26.82,18.9,10.37,2.36,"62.36",34.64,"12.51",18.85,"0",0,0,0,"CV","HIGH_MONO","HM4Y53"
"7","2018_HIGH_MONO_HM8O20_CV","Lab18",2018,"HIGH","MONO","HM8","O20",0,NA,"CV","HM8","O20","NEW",47.19,27.81,12.76,7.22,"43.28",31.67,"13.17",13,"1",0,0,0,"CV","HIGH_MONO","HM8O20"
"8","2018_HIGH_MONO_HM8O34_CV","Lab18",2018,"HIGH","MONO","HM8","O34",0,NA,"CV","HM8","O34","NEW",27.27,24.85,6.77,2.63,"45.51",28.37,"10.16",11.89,"0",0,0,0,"CV","HIGH_MONO","HM8O34"
"9","2018_HIGH_MONO_HM8O66_CV","Lab18",2018,"HIGH","MONO","HM8","O66",0,NA,"CV","HM8","O66","NEW",34.97,27.27,10.59,4.6,"51.45",30.7,"11.97",16.45,"0",0,0,0,"CV","HIGH_MONO","HM8O66"
"10","2018_HIGH_MONO_HM8Y28_CV","Lab18",2018,"HIGH","MONO","HM8","Y28",0,NA,"CV","HM8","Y28","NEW",54.77,24.53,15.87,8.29,"42.54",27.36,"10.48",9.67,"0",0,0,0,"CV","HIGH_MONO","HM8Y28"
"11","2018_HIGH_MONO_HM8Y52_CV","Lab18",2018,"HIGH","MONO","HM8","Y52",0,NA,"CV","HM8","Y52","NEW",35.26,24,12.1,3.72,"41.6",34.27,"11.98",13.42,"0",0,0,0,"CV","HIGH_MONO","HM8Y52"
